text,label,category,channel
"สวัสดีครับ โทรจากเอไอเอสนะครับ ตรวจพบว่ามีคนเอาเลขบัตรประชาชนคุณไปเปิดเบอร์ทำผิดกฎหมาย เดี๋ยวผมโอนสายให้ตำรวจนะครับ",1,โทรคมนาคม,call
"เรียนลูกค้าค่ะ ซิมของคุณกำลังจะถูกระงับเพราะพัวพันคดีฟอกเงิน กรุณากด 9 เพื่อติดต่อเจ้าหน้าที่ด่วน",1,โทรคมนาคม,call
"คือว่าหมายเลขของคุณถูกใช้ส่งข้อความหลอกลวงนะครับ ทางบริษัทต้องยืนยันตัวตน รบกวนแจ้งเลขบัตรประชาชนหน่อยครับ",1,โทรคมนาคม,call
"พี่คะ หนูโอนเงินผิดเข้าบัญชีพี่สองหมื่นบาทอ่ะค่ะ รบกวนโอนคืนให้หน่อยนะคะ เดี๋ยวส่งสลิปให้ดู",1,โอนผิดบัญชี,call
"สวัสดีครับ ทางบริษัทโอนเงินเข้าบัญชีคุณผิดพลาด รบกวนกดลิงก์ยืนยันเพื่อโอนเงินคืนด้วยนะครับ",1,โอนผิดบัญชี,sms
"ระบบแจ้งว่ามีเงินโอนเข้าบัญชีคุณโดยไม่ตั้งใจ กรุณาติดต่อกลับและโอนคืนภายในวันนี้ ไม่งั้นดำเนินคดี",1,โอนผิดบัญชี,call
"ผมมีคลิปหลุดของคุณอยู่ ถ้าไม่อยากให้ส่งให้คนรู้จักดู ให้โอนเงินมาภายในวันนี้นะ",1,แบล็กเมล,chat
"เราแฮกมือถือคุณได้แล้ว มีรูปและข้อมูลส่วนตัวทั้งหมด โอนบิตคอยน์มาไม่งั้นปล่อยให้คนทั้งโลกเห็น",1,แบล็กเมล,chat
"สวัสดีค่ะ โทรจากโรงพยาบาลนะคะ ลูกชายคุณประสบอุบัติเหตุต้องผ่าตัดด่วน กรุณาโอนค่ามัดจำมาก่อนค่ะ",1,ฉุกเฉิน,call
"นี่ตำรวจนะ ลูกคุณถูกจับคดียาเสพติด ถ้าอยากให้ปล่อยต้องโอนเงินประกันมาเดี๋ยวนี้ ห้ามวางสายเด็ดขาด",1,ฉุกเฉิน,call
"คุณแม่ครับ ผมเพื่อนลูกชายคุณ เขาขับรถชนคนต้องใช้เงินยอมความด่วน โอนมาให้ผมก่อนนะครับ",1,ฉุกเฉิน,call
"สนใจลงทุนหุ้นกับอาจารย์ดังในกลุ่มไลน์ไหมคะ สมาชิกได้กำไรกันทุกคน เริ่มแค่พันเดียวก็รวยได้",1,ลงทุน,chat
"พี่คะ พอร์ตหุ้นของเราการันตีผลตอบแทน ลงเท่าไหร่ได้คืนเท่าตัว โหลดแอปแล้วโอนทุนเข้ามาเลยนะคะ",1,ลงทุน,chat
"เข้ากลุ่มวีไอพีเทรดทองกับเราสิครับ มีทีมโค้ชดูแล การันตีกำไรทุกวัน วันนี้รับสมาชิกท้ายสุดแล้ว",1,ลงทุน,chat
"ตามที่อาจารย์สอนในไลฟ์เลยนะคะ เปิดบัญชีเทรดคริปโตแล้วเติมเงินขั้นต่ำหมื่นนึง เดี๋ยวกำไรเข้ารัว ๆ",1,ลงทุน,chat
"คือว่าทางบริษัทขนส่งมีพัสดุของคุณตกค้างนะคะ ข้างในมีบัตรเอทีเอ็มปลอม ตอนนี้เรื่องถึงตำรวจแล้ว เดี๋ยวโอนสายให้นะคะ",1,พัสดุ,call
"ผมร้อยตำรวจเอกนะครับ คดีของคุณเกี่ยวกับการฟอกเงิน ขอให้เก็บเป็นความลับ แล้วโอนเงินมาตรวจสอบที่บัญชีกลาง",1,ตำรวจ,call
"ดิฉันเจ้าหน้าที่ ปปง นะคะ บัญชีคุณมีเงินผิดกฎหมายโอนเข้า ต้องอายัดไว้ก่อน รบกวนโอนเงินทั้งหมดมาบัญชีปลอดภัย",1,ตำรวจ,call
"ถ้าไม่จ่ายหนี้วันนี้ เดี๋ยวคนของเราไปหาที่บ้านนะ รู้นะว่าลูกเรียนโรงเรียนไหน อย่าให้ต้องเจอกัน",1,เงินกู้,call
"เงินกู้อนุมัติแล้วค่ะ แต่ต้องโอนค่าค้ำประกันก่อนสามพัน เดี๋ยวเงินเข้าบัญชีให้เลยภายในชั่วโมงนี้",1,เงินกู้,chat
"ระบบส่งรหัสไปให้แล้วใช่ไหมคะ รบกวนอ่านเลข 6 ตัวให้เจ้าหน้าที่หน่อยค่ะ เพื่อยืนยันตัวตนปลดล็อกบัญชี",1,ฟิชชิง,call
"กรุณากดลิงก์ที่ส่งไปแล้วติดตั้งแอปของกระทรวง เพื่อรับเงินช่วยเหลือจากโครงการรัฐนะครับ",1,หน่วยงาน,sms
"แจ้งจากโครงการรัฐ คุณได้รับสิทธิ์เงินดิจิทัล กดลิงก์อัปเดตแอปทางรัฐและยืนยันตัวตนภายในวันนี้",1,หน่วยงาน,sms
"คุณลูกค้าได้รับเลือกรับเงินคืนจากการช้อปปิ้ง กดลิงก์ผูกบัตรเครดิตเพื่อรับเครดิตเงินคืนค่ะ",1,ฟิชชิง,sms
"สวัสดีครับ ผมแอดมินเพจขายของ ออเดอร์คุณมีปัญหา รบกวนกดลิงก์ยืนยันและกรอกข้อมูลบัตรใหม่นะครับ",1,ฟิชชิง,chat
"ยินดีด้วยค่ะ คุณเป็นผู้โชคดีจากการสุ่มของห้าง รับทองหนึ่งบาท เพียงโอนค่าจัดส่งและภาษีก่อนนะคะ",1,รางวัล,call
"การไฟฟ้านะครับ บ้านคุณค้างค่าไฟ เดี๋ยวจะตัดไฟภายในชั่วโมงนี้ ถ้าไม่อยากถูกตัดให้โอนมาก่อนเลยครับ",1,หน่วยงาน,call
"มีงานพิเศษทำที่บ้านค่ะ แค่กดรับออเดอร์วันละไม่กี่ชั่วโมง ได้เงินดี แต่ต้องวางเงินค้ำออเดอร์ก่อนนะคะ",1,งานออนไลน์,chat
"พี่คะ หนูรับสมัครคนกดรีวิวร้านค้า ทำง่าย ๆ ได้เงินไว แค่เติมเงินเข้าระบบรอบแรกเพื่อยืนยันตัวตน",1,งานออนไลน์,chat
"เรียนคุณลูกค้า บัญชีธนาคารของท่านพบธุรกรรมผิดปกติ กรุณาโอนเงินไปยังบัญชีปลอดภัยที่เจ้าหน้าที่จัดให้ทันที",1,ธนาคาร,call
"สวัสดีครับ ฝ่ายบัตรเครดิตนะครับ มีรายการรูดที่ต่างประเทศ ถ้าไม่ใช่คุณ กรุณาแจ้งเลขหลังบัตรเพื่อระงับครับ",1,ธนาคาร,call
"คุณมียอดค้างค่าปรับจราจรนะครับ ถ้าไม่ชำระวันนี้จะมีหมายจับ กดลิงก์จ่ายค่าปรับได้เลยครับ",1,หน่วยงาน,sms
"ทางเราเป็นตัวแทนรับผ่อนสินค้าราคาถูกค่ะ มัดจำก่อนครึ่งหนึ่งแล้วเราส่งของให้เลย รับรองของแท้",1,ฟิชชิง,chat
"คุณได้รับอนุมัติวงเงินกู้ฉุกเฉินผ่านแอป ไม่ต้องมีคนค้ำ เพียงโอนค่าเปิดวงเงินหนึ่งพันห้าก่อนรับเงิน",1,เงินกู้,sms
"นี่กรมสรรพากรนะครับ คุณมีภาษีต้องได้รับคืน รบกวนแจ้งเลขบัญชีและรหัสที่ส่งไปทางมือถือเพื่อรับเงินคืน",1,หน่วยงาน,call
"คือผมรักคุณจริง ๆ นะ อยากบินมาหาแต่ติดค่าธรรมเนียมศุลกากรของขวัญ ช่วยโอนมาก่อนได้ไหมคนดี",1,romance,chat
"ฮัลโหล แม่เหรอ เย็นนี้กลับกี่โมง หนูหิวแล้วอ่ะ",0,ครอบครัว,call
"เฮ้ย เลิกเรียนยังวะ เดี๋ยวไปตีแบดกันไหม",0,เพื่อน,call
"พี่ครับ ฝากซื้อข้าวกล่องกลับมาด้วยนะ เดี๋ยวผมคืนเงินให้",0,ครอบครัว,chat
"ป้าโทรมาถามว่าวันหยุดยาวนี้จะกลับบ้านไหม",0,ครอบครัว,call
"สวัสดีค่ะ โทรจากศูนย์บริการรถยนต์ แจ้งว่ารถของคุณถึงกำหนดเช็กระยะแล้วนะคะ สะดวกนัดวันไหนคะ",0,บริการ,call
"เรียนลูกค้า แพ็กเกจอินเทอร์เน็ตของท่านจะต่ออายุอัตโนมัติเดือนหน้า ดูรายละเอียดได้ในแอป",0,บริการ,sms
"สวัสดีครับ ไรเดอร์นะครับ ถึงหน้าบ้านแล้ว ลงมารับของได้เลยครับ",0,ขนส่ง,call
"พัสดุของคุณมาส่งแล้วครับ รบกวนเซ็นรับหน่อยนะครับ ขอบคุณครับ",0,ขนส่ง,call
"พรุ่งนี้ประชุมเก้าโมงนะครับ อย่าลืมเอาเอกสารโครงการมาด้วย",0,งาน,chat
"อาจารย์ครับ ขอส่งงานช้าหนึ่งวันได้ไหมครับ พอดีไม่ค่อยสบาย",0,เรียน,chat
"เรียนลูกค้า บัตรเครดิตของท่านได้รับการต่ออายุแล้ว บัตรใหม่จะจัดส่งตามที่อยู่ที่ลงทะเบียนไว้",0,ธนาคาร,sms
"พี่คะ เสาร์นี้ไปเที่ยวทะเลกันไหม หนูจองที่พักไว้แล้ว",0,เพื่อน,chat
"ลูกจ๋า ถึงหอแล้วโทรบอกแม่ด้วยนะ ขับรถดี ๆ",0,ครอบครัว,call
"วันนี้ทำกับข้าวอะไรดี เดี๋ยวแวะตลาดซื้อของก่อนกลับ",0,ครอบครัว,chat
"คุณครูแจ้งว่าสอบกลางภาคเลื่อนเป็นสัปดาห์หน้านะคะ",0,เรียน,chat
"เพื่อน ๆ ส่งเงินค่าทริปมาที่หัวหน้าห้องภายในวันศุกร์นะ",0,เพื่อน,chat
"สวัสดีค่ะ ร้านยืนยันการจองโต๊ะ 4 ที่ คืนนี้สองทุ่มนะคะ",0,ร้านค้า,call
"พ่อครับ คอมที่บ้านเปิดไม่ติด เดี๋ยวกลับไปดูให้นะ",0,ครอบครัว,chat
"ขอบคุณที่ใช้บริการนะคะ รบกวนให้คะแนนคนขับในแอปด้วยค่ะ",0,บริการ,sms
"หมอนัดตรวจตามนัดวันพฤหัสบดีนะคะ อย่าลืมงดน้ำงดอาหารก่อนมา",0,สุขภาพ,sms
"พี่ว่าหนังเรื่องนี้สนุกไหม เดี๋ยวว่าจะชวนกลุ่มไปดูวันอาทิตย์",0,เพื่อน,chat
"แม่ฝากบอกว่ากับข้าวอยู่ในตู้เย็น อุ่นกินได้เลยนะ",0,ครอบครัว,chat
"งานวิ่งการกุศลเปิดรับสมัครแล้วนะ ใครสนใจสมัครในเว็บโรงเรียนได้เลย",0,เรียน,chat
"สวัสดีครับ แจ้งเตือนนัดหมายติดตั้งเน็ตบ้านพรุ่งนี้บ่ายโมงนะครับ",0,บริการ,sms
"เย็นนี้ซ้อมเชียร์ต่อไหม หรือพอแค่นี้ก่อน พรุ่งนี้ค่อยซ้อมใหม่",0,เพื่อน,chat
"คุณลูกค้าคะ สินค้าที่สั่งจัดส่งเรียบร้อยแล้ว เลขพัสดุดูได้ในแอปของร้านนะคะ",0,ร้านค้า,sms
"พี่ครับ ยืมที่ชาร์จหน่อยได้ไหม แบตจะหมดแล้ว",0,เพื่อน,chat
"ตากับยายฝากความคิดถึงนะ ว่าง ๆ แวะไปหาบ้าง",0,ครอบครัว,call
